# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
10000                   	bottom	7.2913526934538217e-02	7.2913526937759349e-02	7.2913526936093112e-02
10000                   	top	7.2913406386475865e-02	7.2913406389394225e-02	7.2913406388089935e-02
20000                   	bottom	7.2780507156985946e-02	7.2780507158799301e-02	7.2780507157940572e-02
20000                   	top	7.2780502705921346e-02	7.2780502707523453e-02	7.2780502706853725e-02
30000                   	bottom	7.2780286351969800e-02	7.2780286352062323e-02	7.2780286352020912e-02
30000                   	top	7.2780286180980258e-02	7.2780286181039752e-02	7.2780286181013371e-02
40000                   	bottom	7.2780285888944432e-02	7.2780285888945279e-02	7.2780285888944668e-02
40000                   	top	7.2780285882259182e-02	7.2780285882300497e-02	7.2780285882275975e-02
50000                   	bottom	7.2780285885046425e-02	7.2780285885046744e-02	7.2780285885046619e-02
50000                   	top	7.2780285884784718e-02	7.2780285884826004e-02	7.2780285884801496e-02
60000                   	bottom	7.2780285884920068e-02	7.2780285884920748e-02	7.2780285884920443e-02
60000                   	top	7.2780285884910423e-02	7.2780285884951779e-02	7.2780285884927090e-02
70000                   	bottom	7.2780285884913851e-02	7.2780285884914364e-02	7.2780285884914170e-02
70000                   	top	7.2780285884914225e-02	7.2780285884955484e-02	7.2780285884930976e-02
80000                   	bottom	7.2780285884913989e-02	7.2780285884914392e-02	7.2780285884914170e-02
80000                   	top	7.2780285884914225e-02	7.2780285884955345e-02	7.2780285884930990e-02
90000                   	bottom	7.2780285884913781e-02	7.2780285884914364e-02	7.2780285884914170e-02
90000                   	top	7.2780285884914475e-02	7.2780285884955623e-02	7.2780285884931240e-02
100000                  	bottom	7.2780285884914100e-02	7.2780285884914434e-02	7.2780285884914281e-02
100000                  	top	7.2780285884914558e-02	7.2780285884955831e-02	7.2780285884931351e-02
110000                  	bottom	7.2780285884913851e-02	7.2780285884914461e-02	7.2780285884914184e-02
110000                  	top	7.2780285884914420e-02	7.2780285884955720e-02	7.2780285884931267e-02
120000                  	bottom	7.2780285884913962e-02	7.2780285884914434e-02	7.2780285884914198e-02
120000                  	top	7.2780285884914558e-02	7.2780285884955720e-02	7.2780285884931295e-02
130000                  	bottom	7.2780285884913865e-02	7.2780285884914198e-02	7.2780285884914003e-02
130000                  	top	7.2780285884914100e-02	7.2780285884955442e-02	7.2780285884930990e-02
140000                  	bottom	7.2780285884914017e-02	7.2780285884914572e-02	7.2780285884914281e-02
140000                  	top	7.2780285884914572e-02	7.2780285884955831e-02	7.2780285884931364e-02
150000                  	bottom	7.2780285884913962e-02	7.2780285884914545e-02	7.2780285884914253e-02
150000                  	top	7.2780285884914475e-02	7.2780285884955748e-02	7.2780285884931309e-02
160000                  	bottom	7.2780285884913948e-02	7.2780285884914225e-02	7.2780285884914100e-02
160000                  	top	7.2780285884914267e-02	7.2780285884955567e-02	7.2780285884931087e-02
170000                  	bottom	7.2780285884913920e-02	7.2780285884914211e-02	7.2780285884914073e-02
170000                  	top	7.2780285884914267e-02	7.2780285884955442e-02	7.2780285884930976e-02
180000                  	bottom	7.2780285884914087e-02	7.2780285884914309e-02	7.2780285884914184e-02
180000                  	top	7.2780285884914364e-02	7.2780285884955484e-02	7.2780285884931142e-02
190000                  	bottom	7.2780285884913962e-02	7.2780285884914211e-02	7.2780285884914114e-02
190000                  	top	7.2780285884914225e-02	7.2780285884955442e-02	7.2780285884930990e-02
200000                  	bottom	7.2780285884913851e-02	7.2780285884914447e-02	7.2780285884914114e-02
200000                  	top	7.2780285884914517e-02	7.2780285884955540e-02	7.2780285884931212e-02
210000                  	bottom	7.2780285884913851e-02	7.2780285884914267e-02	7.2780285884914045e-02
210000                  	top	7.2780285884914267e-02	7.2780285884955581e-02	7.2780285884931087e-02
220000                  	bottom	7.2780285884913851e-02	7.2780285884914267e-02	7.2780285884914073e-02
220000                  	top	7.2780285884914461e-02	7.2780285884955581e-02	7.2780285884931170e-02
230000                  	bottom	7.2780285884913934e-02	7.2780285884914364e-02	7.2780285884914156e-02
230000                  	top	7.2780285884914434e-02	7.2780285884955651e-02	7.2780285884931267e-02
