# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
10000                   	bottom	1.1217075070195679e+00	1.1217075075378615e+00	1.1217075071618550e+00
10000                   	top	1.1217074837420355e+00	1.1217074843196690e+00	1.1217074839106520e+00
20000                   	bottom	1.1217085276771432e+00	1.1217085276771770e+00	1.1217085276771588e+00
20000                   	top	1.1217085276786263e+00	1.1217085276787611e+00	1.1217085276786940e+00
30000                   	bottom	1.1217085277210552e+00	1.1217085277210588e+00	1.1217085277210574e+00
30000                   	top	1.1217085277209977e+00	1.1217085277211249e+00	1.1217085277210663e+00
40000                   	bottom	1.1217085277210541e+00	1.1217085277210612e+00	1.1217085277210594e+00
40000                   	top	1.1217085277210022e+00	1.1217085277211287e+00	1.1217085277210672e+00
50000                   	bottom	1.1217085277210552e+00	1.1217085277210603e+00	1.1217085277210583e+00
50000                   	top	1.1217085277209971e+00	1.1217085277211227e+00	1.1217085277210654e+00
60000                   	bottom	1.1217085277210477e+00	1.1217085277210583e+00	1.1217085277210526e+00
60000                   	top	1.1217085277209928e+00	1.1217085277211229e+00	1.1217085277210608e+00
70000                   	bottom	1.1217085277210468e+00	1.1217085277210568e+00	1.1217085277210508e+00
70000                   	top	1.1217085277209955e+00	1.1217085277211214e+00	1.1217085277210632e+00
80000                   	bottom	1.1217085277210614e+00	1.1217085277210688e+00	1.1217085277210641e+00
80000                   	top	1.1217085277210035e+00	1.1217085277211294e+00	1.1217085277210688e+00
90000                   	bottom	1.1217085277210534e+00	1.1217085277210701e+00	1.1217085277210628e+00
90000                   	top	1.1217085277210015e+00	1.1217085277211287e+00	1.1217085277210692e+00
100000                  	bottom	1.1217085277210546e+00	1.1217085277210579e+00	1.1217085277210561e+00
100000                  	top	1.1217085277210015e+00	1.1217085277211272e+00	1.1217085277210694e+00
