# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
10000                   	bottom	2.8710560840541038e-01	2.8710679336274325e-01	2.8710604886623742e-01
10000                   	top	2.8720105516371164e-01	2.8720247593292592e-01	2.8720182282506834e-01
20000                   	bottom	2.8377137443135869e-01	2.8377153848636738e-01	2.8377146257727209e-01
20000                   	top	2.8377500808019646e-01	2.8377522659621973e-01	2.8377510375416148e-01
30000                   	bottom	2.8415487534263656e-01	2.8415489931395882e-01	2.8415488261744937e-01
30000                   	top	2.8415334930337321e-01	2.8415337500674737e-01	2.8415336095890414e-01
40000                   	bottom	2.8408788941300617e-01	2.8408789387100353e-01	2.8408789196941325e-01
40000                   	top	2.8408778155651243e-01	2.8408778645758431e-01	2.8408778372396692e-01
50000                   	bottom	2.8409823432779358e-01	2.8409823522824246e-01	2.8409823482397717e-01
50000                   	top	2.8409829414647203e-01	2.8409829457063546e-01	2.8409829430653216e-01
60000                   	bottom	2.8409666469212824e-01	2.8409666481762152e-01	2.8409666476091827e-01
60000                   	top	2.8409666557568874e-01	2.8409666571000175e-01	2.8409666564777308e-01
70000                   	bottom	2.8409691816671345e-01	2.8409691818439192e-01	2.8409691817628757e-01
70000                   	top	2.8409691442844931e-01	2.8409691444345303e-01	2.8409691443690555e-01
80000                   	bottom	2.8409687660954769e-01	2.8409687661271754e-01	2.8409687661078570e-01
80000                   	top	2.8409687667295569e-01	2.8409687667617933e-01	2.8409687667481942e-01
90000                   	bottom	2.8409688259992366e-01	2.8409688260051180e-01	2.8409688260021804e-01
90000                   	top	2.8409688277511808e-01	2.8409688277543665e-01	2.8409688277526035e-01
100000                  	bottom	2.8409688181005033e-01	2.8409688181011145e-01	2.8409688181008158e-01
100000                  	top	2.8409688180689058e-01	2.8409688180713444e-01	2.8409688180698645e-01
